,Name,Platform,Publisher,release_date,metascore,user_score,Company,Year
29,GoldenEye 007,N64,Nintendo,"Aug 25, 1997",96,9.0,Nintendo,1997
30,Castlevania: Symphony of the Night,PS,Konami,"Oct  2, 1997",93,9.2,Sony,1997
31,Sid Meier's Gettysburg!,PC,Electronic Arts,"Sep 30, 1997",92,7.4,Other,1997
32,Final Fantasy VII,PS,SCEA,"Sep  3, 1997",92,9.2,Sony,1997
33,PaRappa the Rapper,PS,SCEA,"Oct 31, 1997",92,7.5,Sony,1997
34,Myth: The Fallen Lords,PC,Bungie Software,"Oct 31, 1997",91,8.6,Other,1997
35,Colony Wars,PS,Psygnosis,"Oct 31, 1997",91,8.1,Sony,1997
36,Star Wars Jedi Knight: Dark Forces II,PC,LucasArts,"Sep 30, 1997",91,8.6,Other,1997
37,Blast Corps,N64,Nintendo,"Feb 28, 1997",90,8.5,Nintendo,1997
38,Fallout,PC,Interplay,"Sep 30, 1997",89,8.8,Other,1997
39,The Curse of Monkey Island,PC,LucasArts,"Oct 31, 1997",89,9.0,Other,1997
40,Diddy Kong Racing,N64,Nintendo,"Nov 24, 1997",88,8.4,Nintendo,1997
41,Star Fox 64,N64,Nintendo,"Jul  1, 1997",88,8.9,Nintendo,1997
42,Total Annihilation,PC,Humongous Entertainment,"Sep 27, 1997",86,8.9,Other,1997
43,Alundra,PS,Working Designs,"Dec 31, 1997",86,8.8,Sony,1997
44,Monster Rancher,PS,Tecmo,"Nov 30, 1997",86,8.4,Sony,1997
45,Oddworld: Abe's Oddysee,PS,GT Interactive,"Aug 31, 1997",85,8.8,Sony,1997
46,Turok: Dinosaur Hunter,N64,Acclaim,"Feb 28, 1997",85,8.3,Nintendo,1997
47,Bushido Blade,PS,SCEA,"Sep 30, 1997",83,8.2,Sony,1997
48,Age of Empires,PC,Microsoft Game Studios,"Sep 30, 1997",83,8.7,Other,1997
49,Ace Combat 2,PS,Namco,"Jul 31, 1997",83,8.6,Sony,1997
50,Mario Kart 64,N64,Nintendo,"Feb 10, 1997",83,8.6,Nintendo,1997
51,Extreme-G,N64,Acclaim,"Sep 30, 1997",82,8.4,Nintendo,1997
52,Blood,PC,GT Interactive,"May 31, 1997",82,8.8,Other,1997
53,The Last Express,PC,Broderbund,"Mar 31, 1997",82,8.7,Other,1997
54,Interstate '76,PC,Activision,"Feb 28, 1997",80,8.6,Other,1997
55,Duke Nukem 64,N64,GT Interactive,"Oct 31, 1997",73,7.5,Nintendo,1997
56,Alone in the Dark: The Trilogy 1+2+3,PC,Interplay,"Mar 31, 1997",72,7.6,Other,1997
57,Need for Speed II,PS,Electronic Arts,"Mar 31, 1997",71,6.8,Sony,1997
58,Broken Sword: The Smoking Mirror,PC,Virgin Interactive,"Oct 31, 1997",69,7.8,Other,1997
59,Ultima Online,PC,Electronic Arts,"Sep 30, 1997",59,8.6,Other,1997
60,Postal,PC,Ripcord Games,"Sep 30, 1997",56,6.4,Other,1997
61,The Legend of Zelda: Ocarina of Time,N64,Nintendo,"Nov 23, 1998",99,9.1,Nintendo,1998
62,Tekken 3,PS,Namco,"Apr 29, 1998",96,9.1,Sony,1998
63,Half-Life,PC,Sierra Entertainment,"Nov 19, 1998",96,9.0,Other,1998
64,Gran Turismo,PS,SCEA,"Apr 30, 1998",96,8.6,Sony,1998
65,Metal Gear Solid,PS,Konami,"Oct 21, 1998",94,9.2,Sony,1998
66,Grim Fandango,PC,LucasArts,"Oct 14, 1998",94,9.1,Other,1998
67,Banjo-Kazooie,N64,Nintendo,"May 31, 1998",92,9.1,Nintendo,1998
68,Thief: The Dark Project,PC,Eidos Interactive,"Nov 30, 1998",92,9.0,Other,1998
69,Baldur's Gate,PC,Interplay,"Dec 21, 1998",91,8.9,Other,1998
70,Crash Bandicoot 3: Warped,PS,SCEA,"Oct 31, 1998",91,9.0,Sony,1998
71,International Superstar Soccer '98,N64,Konami,"Sep 15, 1998",91,7.5,Nintendo,1998
72,Resident Evil 2,PS,Capcom,"Jan 21, 1998",89,9.2,Sony,1998
73,Einhander,PS,SCEA,"May  5, 1998",89,8.7,Sony,1998
74,Railroad Tycoon II,PC,Gathering,"Nov  2, 1998",89,8.5,Other,1998
75,Starcraft,PC,Blizzard Entertainment,"Mar 31, 1998",88,9.1,Other,1998
